1000;ferhat baran;20;ferhat@gmail.com;42568645;AKTIV;false;KONKURRENCESVØMMER
1001;mikail karaca;21;mentozz39@gmail.com;31343144;AKTIV;false;KONKURRENCESVØMMER
1002;lille lise;10;Lisesmor@gmail.com;12312312;AKTIV;false;MOTIONIST
1003;lars larsen;70;larsen@gmail.com;2321312;AKTIV;false;KONKURRENCESVØMMER
1004;peter lind;31;peter@kea.dk;32323232;AKTIV;false;KONKURRENCESVØMMER
1005;per persson;62;per@gmail.com;94959443;AKTIV;false;KONKURRENCESVØMMER
1006;harald topsoe;77;harald@gmail.com;31232323;AKTIV;false;KONKURRENCESVØMMER
1007;marcus jensen;77;harald@gmail.com;31232323;AKTIV;false;KONKURRENCESVØMMER
1008;magnus hansen;30;harald@gmail.com;31232323;AKTIV;false;KONKURRENCESVØMMER
1009;filip larsen;30;harald@gmail.com;31232323;AKTIV;false;KONKURRENCESVØMMER
1010;marie julie;30;harald@gmail.com;31232323;AKTIV;false;KONKURRENCESVØMMER
1011;julie hansen;30;harald@gmail.com;31232323;AKTIV;false;KONKURRENCESVØMMER
1012;kasper nielsen;30;harald@gmail.com;31232323;AKTIV;false;KONKURRENCESVØMMER
1013;casper jensen;30;harald@gmail.com;31232323;AKTIV;false;KONKURRENCESVØMMER
1014;deniz karaca;30;harald@gmail.com;31232323;AKTIV;false;KONKURRENCESVØMMER
1015;durmus arkin;24;durmuas@gmail.com;12312312;AKTIV;false;KONKURRENCESVØMMER
1016;hassan secilmis;30;harald@gmail.com;31232323;AKTIV;true;KONKURRENCESVØMMER
1017;Firat Baran;14;firo@gmail.com;2131322;AKTIV;false;KONKURRENCESVØMMER
1018;Emre Cingi;16;emere@gmail.com;2131232;AKTIV;false;KONKURRENCESVØMMER
